family,method,n_episodes,dev_cost_total,uses_privileged_info
constant,static,5,43.338775606803736,False
constant,hpa,5,26.891138940717735,False
constant,queue,5,29.64752687163528,False
constant,leading,5,27.980542259824155,False
constant,forecast,5,32.54334196084909,False
constant,oracle,5,30.11077749710423,True
diurnal,static,5,44.89194136565651,False
diurnal,hpa,5,29.824529975744593,False
diurnal,queue,5,30.709322594449862,False
diurnal,leading,5,33.370544903314,False
diurnal,forecast,5,29.601649827153818,False
diurnal,oracle,5,30.544975846443627,True
variable,static,5,57.492353755468876,False
variable,hpa,5,31.79747402793966,False
variable,queue,5,34.3048401882416,False
variable,leading,5,32.49075391409326,False
variable,forecast,5,31.75509847275854,False
variable,oracle,5,31.82645760548808,True
burst,static,5,54.49326813815004,False
burst,hpa,5,24.141160707067307,False
burst,queue,5,24.87718461221626,False
burst,leading,5,24.06888205159291,False
burst,forecast,5,24.151533287273868,False
burst,oracle,5,23.766455573822306,True
azure_replay,static,5,12.160000000000037,False
azure_replay,hpa,5,12.160000000000037,False
azure_replay,queue,5,12.160000000000037,False
azure_replay,leading,5,12.160000000000037,False
azure_replay,forecast,5,12.160000000000037,False
azure_replay,oracle,5,12.160000000000037,True
